COD. UF,UF,CODMUN7,NOME DO MUNICÍPIO,POP20,POP21,POP22
13,AM,1303536,Presidente Figueiredo,37193,38095,30762
13,AM,1303569,Rio Preto da Eva,34106,34856,24807
13,AM,1303601,Santa Isabel do Rio Negro,25865,26566,14305
13,AM,1303700,Santo Antônio do Içá,21243,20889,28233
13,AM,1303809,São Gabriel da Cachoeira,46303,47031,51921
13,AM,1303908,São Paulo de Olivença,40073,40837,32727
13,AM,1303957,São Sebastião do Uatumã,14352,14678,11697
13,AM,1304005,Silves,9230,9289,11572
13,AM,1304062,Tabatinga,67182,68502,66837
13,AM,1304104,Tapauá,17015,16876,21914
13,AM,1304203,Tefé,59547,59250,74142
13,AM,1304237,Tonantins,18897,19038,20180
13,AM,1304260,Uarini,13690,13839,14597
13,AM,1304302,Urucará,16130,16007.000000000002,18582
13,AM,1304401,Urucurituba,23585,24098,24017
14,RR,1400027,Amajari,13185,13561,16994
14,RR,1400050,Alto Alegre,15380,15249,23582
14,RR,1400100,Boa Vista,419652,436591,408157
14,RR,1400159,Bonfim,12557,12701,16169
14,RR,1400175,Cantá,18799,19257,18030
14,RR,1400209,Caracaraí,22283,22635,20780
14,RR,1400233,Caroebe,10383,10595,10555
14,RR,1400282,Iracema,12296,12637,11000
14,RR,1400308,Mucajaí,18172,18482,17058
14,RR,1400407,Normandia,11532,11772,15264
14,RR,1400456,Pacaraima,18913,20108,19317
14,RR,1400472,Rorainópolis,30782,31387,29932
14,RR,1400506,São João da Baliza,8348,8492,8011
14,RR,1400605,São Luiz,8110,8232,6192
14,RR,1400704,Uiramutã,10789,11014,13764
15,PA,1500107,Abaetetuba,159080,160439,158042
15,PA,1500131,Abel Figueiredo,7486,7536,6119
15,PA,1500206,Acará,55669,55744,63268
15,PA,1500305,Afuá,39567,39910,38020
15,PA,1500347,Água Azul do Norte,27615,27797,16672
15,PA,1500404,Alenquer,57092,57390,86096
15,PA,1500503,Almeirim,34076,34044,38843
15,PA,1500602,Altamira,115969,117320,135067
15,PA,1500701,Anajás,29688,30091,34065
15,PA,1500800,Ananindeua,535547,540410,515745
15,PA,1500859,Anapu,28607,29312,33566
15,PA,1500909,Augusto Corrêa,46471,46937,43691
15,PA,1500958,Aurora do Pará,31773,32200,32772
15,PA,1501006,Aveiro,16404,16421,18343
15,PA,1501105,Bagre,31325,31967,35265
15,PA,1501204,Baião,48459,49454,51844
15,PA,1501253,Bannach,3262,3239,3730
15,PA,1501303,Barcarena,127027,129333,126733
15,PA,1501402,Belém,1499641,1506420,1367336
15,PA,1501451,Belterra,17839,17944,18060
15,PA,1501501,Benevides,63768,64780,56152
15,PA,1501576,Bom Jesus do Tocantins,17118,17254,14511
15,PA,1501600,Bonito,16530,16769,12892
15,PA,1501709,Bragança,128914,130122,121793
15,PA,1501725,Brasil Novo,14983,14883,30214
15,PA,1501758,Brejo Grande do Araguaia,7368,7357,6791
15,PA,1501782,Breu Branco,67332,68597,40157
15,PA,1501808,Breves,103497,104280,114628
15,PA,1501907,Bujaru,29427,29717,27049
15,PA,1501956,Cachoeira do Piriá,34609,35307,26510
15,PA,1502004,Cachoeira do Arari,24064,24355,22950
15,PA,1502103,Cametá,139364,140814,134734
15,PA,1502152,Canaã dos Carajás,38103,39103,75433
15,PA,1502202,Capanema,69431,69828,70321
15,PA,1502301,Capitão Poço,54425,54545,56331
15,PA,1502400,Castanhal,203251,205667,200003
15,PA,1502509,Chaves,23948,24175,20630
15,PA,1502608,Colares,12131,12175,11923
15,PA,1502707,Conceição do Araguaia,47991,48115,44765
